,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Polytheism,Henotheism,NR,DB,NR,NR,NR,NR,NR,NR,NR,NR,DB,DB,DB,R,DB,R,DB,NR,NR,NR,DB,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,R,R,NR,DB,DB,DB,DB,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,DB,DB,DB,NR,DB,DB,NR,DB,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,,,
12,Polytheism,Reconstructionist Polytheism,NR,DB,NR,NR,NR,NR,NR,NR,NR,NR,DB,DB,DB,R,DB,R,DB,NR,NR,NR,DB,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,R,R,NR,DB,DB,DB,DB,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,DB,DB,DB,NR,DB,DB,NR,DB,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,,,
13,Polytheism,Hard Polytheism,NR,DB,NR,NR,NR,NR,NR,NR,NR,NR,DB,DB,DB,R,DB,R,DB,NR,NR,NR,DB,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,R,R,NR,DB,DB,DB,DB,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,DB,DB,DB,NR,DB,DB,NR,DB,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,,,
14,Animism,Traditional Animism,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,R,NR,NR,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,R,R,NR,DB,DB,DB,DB,DB,R,R,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,DB,DB,DB,NR,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,,,
15,Animism,Neo-Animism,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,R,NR,NR,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,R,R,NR,DB,DB,DB,DB,DB,NR,R,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,DB,NR,NR,NR,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,,,
16,Animism,Panpsychism,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,R,NR,NR,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,NR,NR,DB,DB,DB,DB,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,DB,NR,NR,NR,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,,,
17,Panentheism,Process Panentheism,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,DB,R,NR,NR,NR,NR,R,DB,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,NR,NR,DB,DB,DB,DB,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,DB,DB,DB,NR,DB,NR,R,NR,NR,NR,NR,NR,NR,NR,NR,,,,,
18,Panentheism,Emanationist Panentheism,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,DB,R,NR,NR,NR,NR,R,DB,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,NR,NR,DB,DB,DB,DB,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,DB,DB,DB,NR,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,,,
19,Panentheism,Participatory Panentheism,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,DB,R,NR,NR,NR,NR,R,DB,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,NR,NR,DB,DB,DB,DB,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,DB,DB,DB,NR,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,,,
20,Pantheism,Classical Pantheism,NR,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,DB,DB,NR,NR,NR,NR,DB,R,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,NR,NR,DB,DB,DB,DB,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,DB,DB,NR,DB,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,,,
21,Pantheism,Scientific Pantheism,DB,DB,NR,DB,DB,NR,R,R,NR,NR,DB,NR,NR,DB,DB,NR,NR,NR,NR,DB,R,DB,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,R,R,R,R,R,DB,DB,DB,DB,DB,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,DB,DB,NR,DB,DB,DB,DB,DB,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,,,
22,Pantheism,Monistic Pantheism,NR,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,DB,NR,NR,NR,NR,NR,NR,R,R,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,NR,NR,DB,DB,DB,DB,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,DB,DB,NR,DB,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,,,
23,New Age Spiritualism,NA Consciousness-Focused,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,NR,R,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,DB,NR,NR,R,NR,NR,NR,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,R,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,R,NR,R,NR,NR,NR,NR,NR,,,,,
24,New Age Spiritualism,NA Energy-Based,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,R,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,DB,NR,NR,R,NR,NR,NR,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,R,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,R,NR,NR,NR,NR,NR,NR,,,,
25,New Age Spiritualism,NA Evolutionary Consciousness,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,R,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,DB,NR,NR,R,NR,NR,NR,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,R,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,R,NR,NR,NR,NR,NR,NR,,,,
26,New Age Spiritualism,NA Eclectic Synthesis,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,NR,NR,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,R,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,R,NR,NR,NR,NR,NR,NR,,,,
27,Spiritual Naturalism,Scientific Spirituality,DB,DB,NR,DB,DB,DB,R,R,NR,NR,DB,NR,NR,DB,DB,NR,NR,NR,NR,NR,DB,DB,DB,DB,NR,NR,DB,DB,NR,NR,NR,NR,NR,NR,NR,NR,R,R,R,R,R,R,DB,DB,DB,DB,DB,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,DB,DB,DB,DB,NR,DB,DB,DB,DB,NR,NR,NR,NR,DB,DB,DB,NR,NR,NR,,,,
28,Spiritual Naturalism,Naturalistic Buddhism,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,DB,NR,NR,DB,DB,NR,NR,NR,NR,NR,DB,DB,DB,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,R,R,R,R,R,DB,DB,DB,DB,DB,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,DB,R,DB,DB,DB,DB,NR,R,NR,NR,DB,DB,DB,NR,NR,NR,,,,
29,Spiritual Naturalism,Philosophical Naturalism,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,DB,NR,NR,DB,DB,NR,NR,NR,NR,NR,DB,DB,DB,DB,NR,NR,DB,DB,NR,NR,NR,NR,NR,NR,NR,NR,R,R,R,R,R,R,DB,DB,DB,DB,DB,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,DB,NR,DB,DB,DB,DB,R,NR,NR,R,DB,DB,DB,NR,NR,NR,,,,
30,Spiritual Naturalism,Embodied Spirituality,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,DB,NR,NR,DB,DB,NR,NR,NR,NR,NR,DB,DB,DB,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,R,R,R,R,R,DB,DB,DB,DB,DB,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,DB,R,DB,DB,DB,DB,NR,NR,NR,R,DB,DB,DB,NR,NR,NR,,,,
31,Spiritual Naturalism,Naturalistic Taoism,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,DB,NR,NR,DB,DB,NR,NR,NR,NR,NR,DB,DB,DB,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,R,R,R,R,R,DB,DB,DB,DB,DB,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,DB,R,DB,DB,DB,DB,NR,NR,NR,NR,DB,DB,DB,NR,NR,NR,,,,
32,Non-Dual & Beyond-Concept,Buddhist Emptiness,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,NR,NR,NR,NR,NR,NR,NR,NR,DB,DB,NR,R,NR,NR,NR,DB,DB,DB,DB,DB,NR,NR,NR,NR,R,NR,NR,NR,R,R,R,R,R,NR,R,DB,NR,DB,DB,R,R,NR,NR,DB,DB,DB,R,NR,NR,,,,
33,Non-Dual & Beyond-Concept,Direct Experience Zen,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,NR,NR,NR,NR,NR,NR,NR,NR,DB,DB,NR,R,NR,NR,NR,DB,DB,DB,DB,DB,NR,NR,NR,NR,NR,NR,NR,NR,R,R,R,R,R,NR,R,DB,NR,DB,DB,R,R,NR,NR,DB,DB,DB,NR,NR,NR,,,,
34,Non-Dual & Beyond-Concept,Vedantic Non-Dualism,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,R,R,NR,NR,NR,NR,NR,NR,NR,DB,DB,NR,R,NR,NR,NR,DB,DB,DB,DB,DB,NR,NR,NR,NR,NR,NR,NR,NR,R,R,R,NR,R,R,R,DB,NR,DB,DB,R,R,NR,NR,DB,DB,DB,R,R,NR,,,,
35,Non-Dual & Beyond-Concept,Tantric Non-Dualism,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,R,R,NR,NR,NR,NR,NR,NR,NR,DB,DB,NR,R,NR,NR,NR,DB,DB,DB,DB,DB,NR,NR,NR,NR,NR,NR,NR,NR,R,R,R,NR,R,DB,R,DB,NR,DB,DB,R,R,NR,NR,DB,DB,DB,R,R,NR,,,,
36,Non-Dual & Beyond-Concept,Taoist Harmony,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,NR,NR,NR,NR,NR,NR,NR,NR,DB,DB,NR,R,NR,NR,NR,DB,DB,DB,DB,DB,NR,NR,NR,NR,NR,NR,NR,NR,R,R,R,NR,R,NR,R,DB,NR,DB,DB,NR,NR,NR,NR,DB,DB,DB,R,NR,NR,,,,
37,Non-Dual & Beyond-Concept,Contemporary Non-Dualism,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,R,R,NR,NR,NR,NR,NR,NR,NR,DB,DB,NR,R,NR,NR,NR,DB,DB,DB,DB,DB,NR,NR,NR,NR,NR,NR,NR,NR,R,R,R,NR,R,NR,R,DB,NR,DB,DB,R,R,NR,NR,DB,DB,DB,R,R,R,,,,
38,Gnosticism/Esoteric Dualism,Classical Gnosticism,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,NR,NR,DB,DB,DB,DB,DB,NR,NR,NR,NR,NR,R,NR,NR,NR,NR,NR,NR,DB,R,NR,R,R,R,NR,NR,NR,NR,NR,R,R,NR,DB,DB,NR,,,,
39,Gnosticism/Esoteric Dualism,Philosophical Dualism,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,DB,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,NR,NR,DB,DB,DB,DB,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,DB,DB,NR,NR,NR,R,NR,DB,NR,NR,NR,NR,NR,NR,NR,DB,NR,NR,,,,
40,Gnosticism/Esoteric Dualism,Modern Matrix Skepticism,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,R,NR,NR,NR,DB,DB,DB,DB,DB,NR,NR,NR,NR,NR,R,NR,R,NR,NR,NR,NR,DB,R,NR,R,NR,R,R,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,,
41,Agnostic Spiritual Seeker,Mystical Agnosticism,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,NR,NR,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,R,NR,NR,NR,NR,R,NR,NR,NR,NR,R,R,R,NR,NR,NR,NR,NR,NR,NR,,,,
42,Agnostic Spiritual Seeker,Pragmatic Spirituality,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,NR,NR,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,R,NR,NR,NR,NR,R,NR,NR,NR,NR,NR,NR,NR,R,NR,NR,NR,NR,NR,NR,,,,
43,Agnostic Spiritual Seeker,Philosophical Spirituality,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,NR,NR,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,R,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,R,NR,NR,NR,NR,NR,,,,
44,Agnostic Spiritual Seeker,Transitional Seeking,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,NR,NR,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,R,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,R,NR,NR,NR,NR,NR,,,,
45,Simulation Hypothesis,Technological Simulation,NR,NR,NR,NR,NR,NR,NR,NR,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,DB,DB,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,NR,NR,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,R,NR,DB,R,NR,,,,
46,Simulation Hypothesis,Divine Simulation,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,DB,DB,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,NR,NR,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,R,NR,NR,R,NR,,,,
47,Simulation Hypothesis,Nested Realities,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,DB,DB,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,NR,NR,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,R,R,NR,R,NR,,,,
48,Simulation Hypothesis,Conscious Simulation,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,NR,NR,R,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,NR,NR,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,R,NR,R,DB,NR,,,,
49,Consciousness-First,Yogācāra Buddhism,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,R,NR,NR,NR,NR,NR,NR,NR,NR,DB,DB,NR,R,NR,NR,NR,DB,DB,DB,DB,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,NR,NR,NR,R,DB,NR,DB,DB,NR,NR,NR,NR,DB,DB,DB,R,R,R,,,,
50,Consciousness-First,Vajrayana Luminosity,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,R,NR,NR,NR,NR,NR,NR,NR,NR,DB,DB,NR,R,NR,NR,NR,DB,DB,DB,DB,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,NR,NR,NR,R,DB,NR,DB,DB,NR,NR,NR,NR,DB,DB,DB,R,R,NR,,,,
51,Consciousness-First,Analytical Idealism,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,R,R,NR,NR,NR,NR,NR,NR,NR,DB,DB,NR,R,NR,NR,NR,DB,DB,DB,DB,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,DB,NR,DB,DB,NR,NR,NR,NR,DB,DB,DB,R,NR,R,,,,
52,Consciousness-First,Quantum Idealism,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,R,NR,R,NR,NR,R,NR,NR,NR,DB,DB,R,R,NR,NR,NR,DB,DB,DB,DB,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,DB,NR,DB,DB,NR,NR,NR,NR,DB,DB,DB,R,NR,NR,,,,
53,Consciousness-First,Transcendental Idealism,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,R,NR,NR,NR,NR,NR,NR,NR,NR,DB,DB,NR,R,NR,NR,NR,DB,DB,DB,DB,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,DB,NR,DB,DB,NR,NR,NR,NR,DB,DB,DB,NR,NR,R,,,,
54,Consciousness-First,Neutral Monism,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,NR,NR,NR,NR,NR,NR,NR,R,NR,NR,NR,DB,DB,DB,DB,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,DB,NR,DB,DB,NR,NR,NR,NR,DB,DB,DB,NR,NR,NR,,,,
55,Multiverse Theory,Quantum Many-Worlds,NR,NR,NR,NR,NR,NR,R,R,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,R,R,NR,NR,NR,R,R,R,R,R,R,NR,DB,DB,DB,DB,DB,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,,
