Common Name,Scientific Name,Family,Grows in CA,Wild in CA,Cultivated in CA,Cultural Significance,Standout Visual Identifier,Kid-Friendly ID Tip,Distinguishing Features,Similar Species*,Differences from Look-Alikes*,Seasonal Timeline*,Seasonal Changes,Leaf Type*,Leaf Complexity*,Leaf Arrangement*,Leaf Shape*,Leaf Length*,Leaf Characteristics*,Autumn Leaf Color*,Needle Arrangement,Needle Length,Needle Characteristics,Flower Description*,Fruit or Cone Description*,Cone Size & Shape,Cone Position*,Seed Dispersal Mechanism*,Smell*,Bark (Young Tree),Bark (Mature Tree),Winter ID Features*,Tree Shape (Young),Tree Shape (Mature),Branch Pattern,Height Range,Growth Rate,Habitat,Region,Elevation Range,Climate Preferences,Toxicity
Balm-of-Gilead Poplar,Populus × jackii,Salicaceae,No,No,Unlikely,Named for its fragrant resin; planted as a fast-growing shade tree.,"Sticky, fragrant buds and large shiny leaves.",Smells like sweet gum when you touch the buds!,"Heart-shaped leaves with sticky, aromatic buds in spring.","Eastern Cottonwood (*Populus deltoides*), Balsam Poplar (*Populus balsamifera*)","Broader, sticky, aromatic leaves",Catkins in early spring; cottony seeds by late spring,Buds swell and release scent in spring; yellow fall leaves.,Deciduous,Simple,Alternate,Heart-shaped or oval,3–6 inches,"Glossy, dark green above; sticky and fragrant",Yellow,N/A,N/A,N/A,Drooping catkins; male and female separate trees,Capsules releasing cottony seeds,N/A,N/A,Wind,Strong balsam or resinous scent from buds,"Smooth, grayish-green","Rough and furrowed, gray-brown",Large sticky buds with strong aroma; gray bark with ridges,Pyramidal,"Broad, rounded crown",Alternate branching,50–80 feet,Fast,Cultivated in temperate areas,Hybrid of Eastern North America species,Low elevations,"Moist, temperate climates",Non-toxic
Balsam Fir,Abies balsamea,Pinaceae,No,No,Unlikely,Popular Christmas tree with fragrant foliage.,Dark green needles and upright purple cones.,Feels soft and smells like the holidays!,"Flat, soft needles with a spicy scent; resin blisters on bark.",Fraser Fir (*Abies fraseri*),"Resin blisters on bark and flat, aromatic needles",Pollen in spring; cones ripen in late summer and disintegrate,New growth in spring; cones mature over summer.,Evergreen,Simple,Spiral,"Linear, flat",0.5–1 inch,"Dark green above, white-striped beneath, blunt tip",None,Two-ranked on twigs,0.5–1 inch,"Flat, soft, dark green above, white-lined below","Inconspicuous; male yellow, female upright green","Upright cylindrical cones, 2–4 inches","2–4 inches, cylindrical, upright",Top branches,Wind,"Strongly balsamic, sweet and piney","Smooth, gray with resin blisters",Scaly with age,Flat needles with white underside and upright cones (if present),"Narrow, pyramidal","Tall, spire-like crown",Horizontal branches,45–75 feet,Slow to moderate,"Cool, moist forests",Northeastern U.S. and Canada,Low to mid elevations,"Cold-tolerant, prefers moist climates",Non-toxic
Balsam Poplar,Populus balsamifera,Salicaceae,No,No,Unlikely,Used for medicinal salves and traditional remedies.,Large pointed leaves and sticky buds with strong scent.,Buds are sticky like tree glue!,Glossy green leaves and sweet-smelling buds in spring.,Black Cottonwood (*Populus trichocarpa*),More aromatic buds and narrower leaves,Catkins in early spring; seeds in cottony masses by summer,Bright green leaves turn yellow in fall,Deciduous,Simple,Alternate,Ovate to lance-shaped,3–6 inches,"Shiny green above, pale beneath; resinous buds",Yellow,N/A,N/A,N/A,Drooping catkins before leaves; male and female trees,Capsules with cottony seeds,N/A,N/A,Wind,Sticky buds give off sweet balsam scent,Smooth and greenish,Rough and deeply furrowed,Large resinous buds; gray bark and open crown,Upright and narrow,Tall and spreading crown,Alternate branching,50–80 feet,Fast,Streambanks and moist lowlands,Northern U.S. and Canada,Low to moderate elevations,Cold and wet climates,Non-toxic
Bigcone Douglas-fir,Pseudotsuga macrocarpa,Pine,Yes,Yes,Unlikely,"Southern California species, important for erosion control in steep canyons; largest cones among Douglas-firs.","Big cones (4–8 inches) with distinctive 3-pronged bracts, typical of Douglas-firs.",It’s like a Douglas-fir with super-sized cones—some of the biggest around!,"Needles radiate around twig, cones have long three-pointed bracts. More drought-tolerant than common Douglas-fir.","Common Douglas-fir (Pseudotsuga menziesii), but bigcone has bigger cones and more southern range.",Subalpine Fir usually has shorter needles. Pacific Silver Fir has a shiny upper surface and two distinct silver bands underneath.,"Evergreen; pollination in spring, cones mature by late summer/fall.","Needles remain year-round, older needles can drop in fall.",Evergreen needles,N/A,"Spirally arranged around twig, but can appear 2-ranked",Linear needles ~1–1.5 inches,1–1.5 inches,"Soft, flattened, pointed tip, dark green",Evergreen,"Sprial, often parted horizontally",1–1.5 inches,"Soft, flexible, slight 'mouse-like' smell if crushed","Male pollen cones small, cylindrical; female cones upright then pendulous",4–8 inch cones with exserted 3-pronged bracts,"4–8 inches, elongated with distinctive bracts",Hanging from branches,Wind,"Subtle conifer scent, sometimes described as slightly sweet or 'Douglas-fir' smell","Smooth, gray-brown, developing fissures","Deeply furrowed, thick ridges protecting from moderate fires","Evergreen needles, large cones may persist","Pyramidal, branches angled upward","Tall, but often contorted on steep slopes, broad canopy","Whorled, widely spaced, drooping tips",30–100 feet (can be taller in favorable sites),Moderate,"Canyons, slopes in Southern California mountains",Transverse & Peninsular Ranges of SoCal,"~2,000–6,000 feet",Mediterranean climate with dry summers; somewhat drought-tolerant,No notable toxicity; resin might irritate skin with prolonged contact.
Bigcone Douglas-fir,Pseudotsuga macrocarpa,Pinaceae,Yes,Yes,Unlikely,Native to Southern California; adapted to fire-prone areas.,Very large cones with thick scales.,Its cones are big like pineapples!,Big cones and thick bark; needles not in bundles.,Coast Douglas-fir (*Pseudotsuga menziesii*),Larger cones with thick scales and fewer branches,Pollen in spring; cones mature by late summer,Cones mature in late summer,Evergreen,Simple,Spiral,Needle-like,1–1.5 inches,"Flat, soft, radiate around twig",None,Spirally arranged,1–1.5 inches,"Flat, green, with grooved tops","Male cones yellow, female reddish and upright",Large cones (4–7 inches) with thick scales and bracts,"4–7 inches, oblong with thick scales",Hanging from branches,Wind,Mildly resinous,Gray and smooth,Very thick and furrowed,Large hanging cones and soft evergreen needles,Conical,Irregular and tall,"Horizontal, spreading",50–100 feet,Moderate,Mountain slopes,Southern California mountains,"3,000–8,000 feet","Dry summers, wet winters",Non-toxic
Bigleaf Maple,Acer macrophyllum,Sapindaceae,Yes,Yes,Yes,Largest maple in North America; source of maple syrup and shade.,Huge leaves—up to a foot wide!,Its leaves are bigger than your face!,"Large, lobed leaves and mossy bark in moist climates.",Norway Maple (*Acer platanoides*),Much larger leaves; lacks milky sap,Flowers in early spring; samaras mature in summer,Bright yellow fall color; early spring flowers.,Deciduous,Simple,Opposite,"5-lobed, palmate",6–12 inches,"Bright green, deeply lobed, slightly hairy beneath",Yellow to orange,N/A,N/A,N/A,Hanging clusters of yellow-green flowers,Paired winged seeds (samaras),N/A,N/A,Wind,Slightly sweet from leaves and sap,Smooth and greenish,"Brown, ridged, often moss-covered",Large opposite buds and stout twigs,Upright with spreading branches,"Wide, rounded crown",Opposite branching,40–100 feet,Moderate to fast,Moist forests and streambanks,Pacific Northwest and California,"Sea level to 5,000 feet","Moist, temperate climates",Non-toxic
Bigtooth Aspen,Populus grandidentata,Salicaceae,No,No,Unlikely,Important for wildlife and fast regeneration after fire.,Leaves with large teeth and flat stems.,Leaves tremble like they're ticklish!,Shimmering leaves with coarse teeth and pale bark.,Quaking Aspen (*Populus tremuloides*),Larger leaf teeth and less fluttery,Catkins in spring; seeds in cottony tufts by early summer,Bright yellow fall color; leaf flutter in breeze.,Deciduous,Simple,Alternate,Broadly ovate with large teeth,3–5 inches,"Dull green above, pale below, large teeth",Golden yellow,N/A,N/A,N/A,Slender catkins,Tiny cottony seeds,N/A,N/A,Wind,Fresh and slightly sweet,Smooth and light gray,"Darkens with age, becomes ridged","Light bark with dark knots, buds large and pointed",Narrow and upright,Rounded open crown,Alternate,40–70 feet,Fast,"Sandy soils, old fields",Northeastern and Great Lakes U.S.,Low to mid elevations,"Cold winters, moist summers",Non-toxic
Birchleaf False-buckthorn,Frangula betulifolia,Rhamnaceae,Yes,Yes,Unlikely,Used medicinally and found in dry desert canyons.,"Simple leaves shaped like birch, with shiny surface.",The leaves look like tiny spoons!,Glossy oval leaves and small black berries.,Alderleaf Buckthorn (*Frangula alnifolia*),"Smaller leaves, denser growth, and thornless",Flowers in spring; fruit ripens in summer,Tiny spring flowers and fall berries.,Deciduous,Simple,Alternate,Oval to oblong,1–3 inches,"Matte, finely serrated, birch-like",Yellow to orange,N/A,N/A,N/A,Small yellow flowers,Red berries,N/A,N/A,Birds,Neutral,Smooth gray,"Roughened, flaky gray",Slender gray twigs and red berries,"Small, upright",Shrubby small tree,"Alternate, irregular",6–20 feet,Slow to moderate,Dry rocky slopes and canyons,Southwestern U.S. and northern Mexico,"2,000–6,000 feet","Dry, desert-edge climate",Mildly toxic if ingested
Bishop Pine,Pinus muricata,Pine,Yes,Yes,Likely,Occurs in coastal areas; sometimes used for pulpwood; forms unique stands on poor soils.,"Small to medium pine with 2 twisted needles per bundle, cones often remaining closed and attached for years.",Look for a scraggly pine near the coast with knobby cones that don’t fall off.,"Cones are serotinous (may open after fire or extreme heat), 2 twisted needles in each fascicle.","Monterey Pine (Pinus radiata), but bishop pine cones are smaller and more knobby.",Ponderosa Pine cones have outward-pointing prickles; Jeffrey Pine cones have prickles curving inward.,Evergreen; cones may stay closed for many years until fire/heat.,"Minimal, evergreen needles remain year-round.",Evergreen needles (bundles of 2).,N/A,Fascicles of 2 needles.,"Needles ~3–6 inches, twisted.",3–6 inches.,"Dark green, twisted, stiff.",Evergreen.,Fascicles of 2.,3–6 inches.,"Twisted, somewhat rigid, dark green.","Male pollen cones small, cylindrical; female cones form on branches.","Serotinous cones, 2–3 inches, thick scales with knob-like tips.","2–3 inches, ovoid, often asymmetrical.","Clustered on branches, often persistent.","Mostly triggered by fire/heat opening cones, then wind disperses seeds.",Typical pine resin odor.,"Dark grayish-brown, somewhat smooth.","Furrowed, scaly plates.","Evergreen needles, persistent closed cones.","Conical, somewhat open.","Irregular, often leaning or contorted by coastal winds.","Spreading or ascending, can be irregular.",20–60 feet (rarely taller).,Moderate.,"Coastal bluffs, poor soils, foggy areas.",Patchy distribution along central to northern CA coast.,Sea level to a few hundred feet.,"Cool, coastal, moderate rainfall/fog.",Generally safe; resin isn’t edible but has a pleasant vanilla/butterscotch scent.
Black Locust,Robinia pseudoacacia,Fabaceae,Yes,Yes,Yes,Hard wood used for fence posts; invasive in some areas.,Compound leaves and long thorns at base of leaves.,Has long bean pods and pokey thorns!,Fragrant white flowers and compound leaves with oval leaflets.,Honeylocust (*Gleditsia triacanthos*),Deep furrows in bark and paired thorns,Flowers in late spring; seed pods ripen in fall,"Spring flowers, fall seed pods.",Deciduous,Compound,Alternate,Pinnate with oval leaflets,6–12 inches (entire leaf),Bright green leaflets with smooth edges,Yellow,In bundles or singly on twigs,"Short to long, often 0.5-2 inches","Stiff or soft, green to blue-green, often fragrant",Fragrant white pea-like flowers,Flat brown seed pods,Flat brown pods 2–4 inches,Hanging in clusters,Wind and gravity,Sweet and floral,"Smoothish, greenish-gray","Deeply furrowed, dark",Deeply furrowed bark and thorny branches,Upright and lanky,Open and irregular,Alternate with paired thorns,40–80 feet,Fast,"Disturbed areas, roadsides",Eastern U.S.; now widespread,"Sea level to 6,000 feet","Adaptable, drought-tolerant",Toxic to livestock
Black Maple,Acer nigrum,Sapindaceae,No,No,Unlikely,Closely related to Sugar Maple; tapped for syrup.,Three-lobed leaves with droopy edges.,Looks like a sad maple with droopy ears!,"Dark bark, hairy leaf undersides, fewer lobes than sugar maple.",Sugar Maple (*Acer saccharum*),Droopier leaves and fuzzier undersides,Flowers in spring; samaras ripen in summer,Colorful fall foliage; small flowers in spring.,Deciduous,Simple,Opposite,"3-lobed, drooping",4–6 inches,"Dark green, fuzzy below, floppy",Yellow to orange,In bundles or singly on twigs,"Short to long, often 0.5-2 inches","Stiff or soft, green to blue-green, often fragrant",Tiny greenish-yellow clusters,Paired winged samaras,Double-winged samaras,Hanging clusters,Wind,Neutral,Smooth and gray,Dark and grooved,Droopy twigs and fuzzy terminal buds,Upright and narrow,Rounded crown,Opposite,60–80 feet,Moderate,"Moist, fertile woods",Eastern and Midwestern U.S.,Lowlands,"Temperate, moist",Non-toxic
Black Spruce,Picea mariana,Pinaceae,No,No,Unlikely,Used for paper pulp; native to cold bogs and boreal forests.,"Short, bluish needles and small, egg-shaped cones.",It looks like a scruffy Christmas tree!,"Short needles, downturned branches, and small cones that stay closed.",White Spruce (*Picea glauca*),Smaller cones and shorter needles,Pollen in spring; cones mature in fall,New growth in spring; cones open with heat.,Evergreen,Simple,Spiral,Needle-like,0.25–0.5 inches,"Short, stiff, blue-green needles",None,Spirally arranged,0.25–0.5 inches,"Bluish-green, stiff, four-sided",Small red or purple cones,Small round cones <1 inch,"0.5–1.25 inches, oval",Near top of branches,Wind,"Sharp, resinous",Thin and grayish,Scaly and dark gray,Short sharp needles and clustered cones,Spindly pyramid,"Narrow, irregular crown","Horizontal, drooping",20–50 feet,Slow,"Bogs, wet lowlands",Boreal forests of Canada and Northeastern U.S.,Low elevations,"Cold, wet environments",Non-toxic
Blue Spruce,Picea pungens,Pinaceae,Yes,No,Yes,State tree of Colorado; prized ornamental for blue needle color.,"Stiff, spiky, blue-gray needles.",Don’t touch—it’s super poky!,"Blue hue, sharp needles, and symmetrical form.",White Spruce (*Picea glauca*),Stiff sharp needles and intense blue color,Cones form in spring; mature by fall,Cones ripen in summer; bright new growth in spring.,Evergreen,Simple,Spiral,Needle-like,0.75–1.25 inches,"Stiff, sharp, blue-green",None,Spirally arranged around twig,1–1.5 inches,"Stiff, sharp, four-sided, silvery-blue",Small reddish cones,Cylindrical cones 2.5–4 inches,"2–4 inches, cylindrical",Hanging downward,Wind,Strongly resinous,Thin and gray,"Scaly, gray-brown",Blue needles and hanging cones,Symmetrical pyramid,"Broad, conical crown","Regular whorls, horizontal",50–75 feet,Moderate,"Mountain valleys, well-drained soils",Rocky Mountains; cultivated widely,"6,000–10,000 feet (native)","Cold-hardy, adaptable",Non-toxic
Brewer Spruce,Picea breweriana,Pinaceae,Yes,Yes,Rarely,Rare endemic species native to Klamath Mountains.,"Graceful, weeping branchlets.",Looks like it’s crying with long leafy tears!,"Long-hanging branchlets, short needles with white lines.",Engelmann Spruce (*Picea engelmannii*),Distinct drooping branchlets and narrow cones,Pollen in spring; cones mature by fall,"New growth in spring, cones develop in summer.",Evergreen,Simple,Spiral,Needle-like,0.5–1 inch,"Soft, curved, dark green",None,Brushlike clusters,0.5–1 inch,"Flat, dark green with two white lines underneath",Small purple cones,Long cones with papery scales,"3–6 inches, slender",Hanging near branch ends,Wind,Mild spruce scent,"Smooth, reddish","Scaly, dark purple-gray",Drooping branchlets and persistent cones,Narrow pyramid with draping twigs,"Tall, weeping form","Drooping, irregular",60–100 feet,Slow,"Steep, rocky mountain slopes",Klamath Mountains of CA and OR,"4,000–7,000 feet","Cool, moist mountain air",Non-toxic
Bristlecone Fir,Abies bracteata,Pinaceae,Yes,Yes,Rarely,Endemic to California; rare and ancient species.,Long bracts sticking out of cones like spines.,Its cones have spiky hairdos!,"Narrow, pointed needles and unique long-bracted cones.",Subalpine Fir (*Abies lasiocarpa*),Long bracts extending beyond cone scales,Pollen in spring; cones mature fall of 1st year,New growth in spring; cones mature in fall.,Evergreen,Simple,Spiral,Needle-like,1–1.5 inches,"Sharp-pointed, dense spirals",None,Spirally arranged,1–2 inches,"Sharp-tipped, dark green",Small upright pollen cones,Cones with long bracts,"3–5 inches, cylindrical with long bracts",Upright on branches,Wind,"Piney, with sharp citrus notes",Smooth and gray,Ridged and furrowed,Spiraled needles and long-bracted cones,Narrow and columnar,Tall and spire-like,"Whorled, ascending",60–100 feet,Slow,Steep rocky slopes,"Santa Lucia Mountains, CA","4,000–7,000 feet","Cool, foggy mountain air",Non-toxic
Bristly Locust,Robinia hispida,Fabaceae,Yes,No,Yes,Ornamental shrub with bright pink flowers.,Hairy stems and clusters of pink pea-flowers.,It’s the fuzzy pink flower tree!,"Bristly stems, compound leaves, and showy blooms.",Black Locust (*Robinia pseudoacacia*),Hairy stems and smaller stature,Flowers in late spring; pods ripen by summer,"Pink flowers in spring, seed pods in summer.",Deciduous,Compound,Alternate,Pinnate leaflets,6–10 inches,"Hairy stems, soft leaflets",Yellow,In bundles or singly on twigs,"Short to long, often 0.5-2 inches","Stiff or soft, green to blue-green, often fragrant",Pink pea-like flowers,Small brown seed pods,"Flat pods, 2–4 inches",Hanging from stems,Gravity,Slightly floral,Bristly and green,Still bristly; shrub-like,Hairy stems and seed pod remains,Sprawling shrub,Rounded bush or small tree,Irregular,3–10 feet,Fast,Ornamental plantings,Native to Southeast U.S.,Low elevations,"Warm, sunny",Toxic if ingested
California Black Oak,Quercus kelloggii,Beech,Yes,Yes,Likely,Important for wildlife; acorns historically used by indigenous tribes for food,Deeply lobed leaves turning bright gold or orange in autumn,Look for big lobed leaves that turn golden in the fall and large acorns on the ground,"Thick bark, large lobed leaves, scaly-capped acorns","Interior Live Oak (evergreen, smaller lobes)",Monterey Pine cones are more rounded and slightly larger. Bishop Pine cones are knobbier and often stay closed until intense heat.,Flowers (catkins) in spring; acorns mature late summer–early fall; leaves drop in fall,Leaves turn yellow-orange to reddish in autumn before falling,Deciduous,Simple,Alternate,"Deeply lobed, typical oak shape",4–8 inches,"Dark green above, paler beneath, coarse lobes",Yellow to orange/red,N/A,N/A,N/A,Inconspicuous yellow-green catkins in spring,"Acorns ~1–2 inches long, scaly cups covering about half the nut",N/A,N/A,"Primarily wildlife (squirrels, jays)",Not particularly distinctive,"Smoothish, grayish-brown","Thick, dark brown to black, deeply fissured","Bare branches with prominent buds and rough, dark bark",Pyramidal or conical,"Broad, rounded crown","Spreading, irregular","30–80 feet, occasionally taller",Moderate,"Foothills, mixed hardwood forests, well-drained soils","Sierra Nevada foothills, Coast Ranges","Up to ~6,000 feet",Mediterranean climate with moderate precipitation,Not known to be toxic; sap might irritate if handled excessively.
